link,building name,block and lot/unit/floor number,classification,fully furnished,floor area (m²),land size (m²),sqm range,air conditioning,alarm system,broadband internet available,elevators,fire exits,meeting room,reception area,wi-fi,24-hour security,cctv,central air conditioning,fire alarm,lobby,pantry,smoke detector,ensuite,function room,driver's quarter
https://www.lamudi.com.ph/discover-many-ways-to-work-your-way-in-regus-joy-n-170685699431.html,Joy Nostalg,L29,Brand New,Yes,985,985.0,1 to 985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/private-office-space-for-3-persons-in-regus-joy-no-170685699644.html,Joy Nostalg,L29,Brand New,Yes,60,985.0,15 to 60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/open-plan-office-space-for-10-persons-in-regus-joy-170685699132.html,Joy Nostalg,L29,Brand New,Yes,110,985.0,45 to 110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/private-office-space-for-2-persons-in-regus-joy-no-170685699593.html,Joy Nostalg,L29,Brand New,Yes,50,985.0,10 to 50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/book-open-plan-office-space-for-businesses-of-all-170685700335.html,Marco Polo,19/F,Brand New,Yes,110,950.0,45 to 110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/one-corporate-center-fully-fitted-bpo-office-space-168362241535.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-bpo-seat-leasing-workspace-re-16842109599.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-accessible-bpo-office-seat-le-168421097649.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-spacious-private-office-space-168362241576.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-spacious-private-office-space-168362241475.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-accessible-bpo-office-seat-le-168362241950.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-flexible-call-center-office-s-168362240796.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
https://www.lamudi.com.ph/one-corporate-center-bpo-seat-leasing-workspace-re-168362241769.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-private-office-space-and-call-168362240355.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
https://www.lamudi.com.ph/one-corporate-center-ready-to-move-in-bpo-call-cen-168362240470.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
https://www.lamudi.com.ph/one-corporate-center-spacious-private-office-space-168362242132.html,One Corporate Center,,,,2500,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
https://www.lamudi.com.ph/one-corporate-center-private-office-space-and-bpo-16836224230.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-virtual-office-space-for-your-168362244260.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-bpo-seat-leasing-workspace-re-168421097162.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-well-furnished-seat-leasing-w-168362242992.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-private-office-space-and-bpo-168362241110.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-well-furnished-seat-leasing-w-168362241585.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-flexible-private-office-space-168362242144.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
https://www.lamudi.com.ph/one-corporate-center-accessible-bpo-office-seat-le-168362241137.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/move-into-ready-to-use-open-plan-office-space-for-170685700139.html,Marco Polo,19/F,Brand New,Yes,120,950.0,100 to 120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
https://www.lamudi.com.ph/one-corporate-center-brand-new-private-office-spac-168362242512.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-brand-new-private-office-spac-168421096814.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-private-office-space-and-bpo-168362240062.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
https://www.lamudi.com.ph/one-corporate-center-virtual-office-space-for-your-168362243954.html,One Corporate Center,,,,2500,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
